frame,cell_label,area,eccentricity,solidity,extent,aspect_ratio,n_defects,max_defect_depth_ratio
6,19,3263.0,0.8538,0.9596,0.6656,1.9208,3,0.2336
6,20,1892.0,0.601,0.9919,0.7167,1.2512,5,0.1538
6,21,1522.0,0.5898,0.9961,0.7196,1.2384,4,0.1438
6,22,2642.0,0.8821,0.9326,0.584,2.1228,5,0.2509
6,23,2517.0,0.6195,0.9572,0.6655,1.2739,2,0.1953
6,24,1606.0,0.5687,0.9574,0.7182,1.2158,5,0.4499
6,27,2025.0,0.7942,0.9641,0.6988,1.6455,5,0.1969
6,28,2366.0,0.7303,0.9383,0.7101,1.4639,7,0.4175
7,2,2197.0,0.4199,1.0117,0.7682,1.1018,1,0.0677
7,3,3319.0,0.8644,0.9003,0.561,1.9891,2,0.651
7,4,2781.0,0.7754,0.9496,0.7131,1.5835,3,0.2997
7,5,2201.0,0.8752,0.8187,0.5011,2.067,6,0.5919
7,6,2628.0,0.6688,1.001,0.7292,1.3451,3,0.1037
7,7,3438.0,0.8663,0.955,0.6128,2.0017,3,0.1875
7,8,2303.0,0.7445,0.9638,0.6812,1.4978,4,0.2112
7,9,1679.0,0.4477,0.9807,0.7482,1.1183,1,0.3148
7,10,2449.0,0.5458,1.0134,0.7721,1.1935,1,0.0506
7,12,1763.0,0.3093,0.9816,0.737,1.0516,1,0.2322
7,13,2575.0,0.5932,0.9572,0.6613,1.2421,4,0.2661
7,14,2132.0,0.5267,0.9404,0.7252,1.1764,5,0.2875
7,16,3442.0,0.7739,0.9729,0.6519,1.579,2,0.2011
7,17,2048.0,0.5594,1.0099,0.7585,1.2065,2,0.0655
7,20,2482.0,0.7357,0.981,0.6912,1.4764,3,0.1809
7,21,1720.0,0.5839,0.9957,0.735,1.2318,6,0.1017
7,22,1225.0,0.8971,0.5821,0.3038,2.2638,6,0.9964
8,3,2907.0,0.8345,0.9485,0.7297,1.815,5,0.2205
8,4,2326.0,0.5692,1.0115,0.7601,1.2163,1,0.1021
8,5,3043.0,0.8334,0.9331,0.6355,1.8093,5,0.2412
8,6,1990.0,0.4834,0.998,0.7538,1.1423,1,0.188
8,7,1686.0,0.4842,0.974,0.7048,1.1429,4,0.1796
8,8,3093.0,0.7413,0.9631,0.6957,1.4898,3,0.34
8,9,2552.0,0.5375,0.9842,0.703,1.1859,3,0.1883
8,10,2081.0,0.6254,0.9839,0.6774,1.2815,4,0.1216
8,11,2921.0,0.7939,0.9091,0.6517,1.6448,5,0.8418
8,12,3317.0,0.8082,0.9346,0.689,1.698,3,0.3013
8,13,2582.0,0.5582,0.9766,0.7572,1.2053,3,0.2081
8,14,3666.0,0.8064,0.9584,0.6673,1.6909,3,0.2325
8,16,2044.0,0.757,0.9796,0.707,1.5304,7,0.1714
8,17,3241.0,0.81,0.9163,0.673,1.7053,3,0.4233
9,1,3855.0,0.8332,0.968,0.6464,1.8084,2,0.2398
9,2,956.0,0.6485,1.0324,0.766,1.3136,0,0.047
9,3,2166.0,0.5184,1.0159,0.7711,1.1694,0,0.04
9,4,1890.0,0.8401,0.9287,0.675,1.8438,2,0.483
9,5,3999.0,0.8466,0.9735,0.6492,1.879,2,0.1722
9,6,2337.0,0.8452,0.9281,0.6119,1.8713,4,0.4388
9,8,2160.0,0.8205,0.8527,0.5531,1.7492,4,1.2316
9,9,2088.0,0.7829,0.9506,0.6105,1.6072,4,0.222
9,10,2207.0,0.5163,1.0131,0.7711,1.1677,0,0.0377
9,11,2023.0,0.7018,0.842,0.6352,1.4037,3,1.9594
9,12,2124.0,0.8265,0.9118,0.6413,1.7766,4,0.7671
10,1,1258.0,0.5483,1.0125,0.7699,1.1958,2,0.0869
10,2,3460.0,0.8549,0.9737,0.6393,1.9277,2,0.1517
10,3,1291.0,0.6463,0.8867,0.6298,1.3104,3,1.3047
10,4,1214.0,0.7148,1.0219,0.7141,1.4299,0,0.0483
10,5,605.0,0.2414,1.0404,0.7451,1.0305,2,0.0591
10,6,1960.0,0.8784,0.8793,0.5072,2.0927,3,0.5044
10,7,1657.0,0.9185,0.9221,0.6308,2.5294,2,0.4313
10,8,1411.0,0.7262,1.0258,0.7685,1.4545,0,0.0389
11,1,2020.0,0.8047,0.9389,0.5739,1.6843,4,0.3606
11,3,1625.0,0.9039,0.8667,0.5239,2.3374,3,0.5362
11,5,2074.0,0.6015,1.0012,0.7608,1.2518,2,0.1605
11,6,2426.0,0.9167,0.7911,0.4665,2.5029,2,0.8718
11,8,2348.0,0.8038,0.8599,0.6042,1.6811,2,1.0628
11,9,2463.0,0.8284,0.9119,0.6702,1.7851,4,0.3401
11,10,1451.0,0.4279,0.9456,0.701,1.1064,3,0.397
12,1,2571.0,0.7666,0.7816,0.5217,1.5573,5,1.1596
12,2,1956.0,0.888,0.9231,0.5839,2.1747,2,0.4271
12,3,1747.0,0.5825,0.8489,0.6617,1.2302,2,1.6828
12,4,2086.0,0.8622,0.9392,0.5399,1.9741,5,0.2657
12,5,1725.0,0.8949,0.817,0.4672,2.2405,6,0.9245
12,6,2139.0,0.8291,0.7961,0.5635,1.7887,4,2.0262
12,7,3201.0,0.6373,1.0098,0.7665,1.2977,0,0.0367
12,8,1443.0,0.7042,1.0249,0.7446,1.4084,0,0.0366
12,9,1192.0,0.6599,1.0276,0.7568,1.3309,0,0.0445
12,10,1257.0,0.8745,0.9913,0.6348,2.0619,2,0.1873
12,11,3522.0,0.7374,0.8675,0.6042,1.4804,6,0.653
12,12,2164.0,0.8456,0.9364,0.5643,1.8731,3,0.2651
12,13,2811.0,0.6883,0.9984,0.7131,1.3785,3,0.1107
12,14,2101.0,0.5881,0.9873,0.7227,1.2364,2,0.1716
13,3,3027.0,0.819,0.9777,0.7056,1.7428,3,0.1961
13,4,1661.0,0.891,0.9044,0.5859,2.2026,2,0.5355
13,5,1581.0,0.5031,0.8754,0.6596,1.1571,2,1.6276
13,6,4542.0,0.8319,0.9758,0.74,1.8019,2,0.2165
13,8,1904.0,0.2323,0.9822,0.7332,1.0281,3,0.2193
13,9,4122.0,0.8252,0.9757,0.649,1.7704,2,0.1848
13,10,1721.0,0.5018,0.881,0.6765,1.1561,4,1.6498
13,11,3028.0,0.852,0.8273,0.6372,1.9099,3,2.4566
13,12,3641.0,0.8713,0.9545,0.783,2.038,4,0.2644
14,1,2536.0,0.7589,0.9814,0.7172,1.5357,4,0.1658
14,2,2417.0,0.638,0.9188,0.6582,1.2987,5,0.8647
14,3,2566.0,0.7685,0.8224,0.5632,1.5629,6,2.3628
14,4,2485.0,0.413,1.0091,0.7658,1.098,1,0.0732
14,5,1977.0,0.1842,1.0,0.7455,1.0174,5,0.106
14,6,2121.0,0.7606,0.9505,0.6986,1.5404,3,0.3089
14,7,1920.0,0.8121,0.7164,0.4918,1.7137,4,2.4261
14,8,1784.0,0.9174,0.9318,0.5171,2.5129,4,0.3375
14,9,3187.0,0.815,0.9338,0.6656,1.7255,4,0.2587
14,10,2800.0,0.7045,0.9948,0.7062,1.4089,2,0.1099
14,11,2500.0,0.8199,0.87,0.6579,1.7466,3,1.8396
14,12,2075.0,0.4903,0.9862,0.7001,1.1474,3,0.1871
14,15,3493.0,0.7941,0.9597,0.7069,1.6452,4,0.2719
14,16,2376.0,0.6176,0.9969,0.7615,1.2714,4,0.1251
15,1,3076.0,0.7368,0.8167,0.5932,1.479,3,2.2195
15,2,389.0,0.6892,1.036,0.741,1.3802,7,0.1292
15,3,2418.0,0.2745,1.0102,0.7713,1.04,0,0.0456
15,4,1109.0,0.822,0.9573,0.6147,1.7561,9,0.1958
15,5,2215.0,0.5343,1.0154,0.7756,1.183,0,0.0477
15,6,1794.0,0.5551,0.8719,0.6644,1.2022,3,1.8991
15,7,2227.0,0.6087,1.0114,0.7703,1.2604,0,0.0418
15,9,3054.0,0.6702,0.9704,0.6706,1.3474,3,0.1699
15,10,2720.0,0.7049,1.0054,0.7192,1.4099,2,0.1223
15,11,2263.0,0.5294,1.0128,0.7803,1.1787,0,0.0373
15,12,3551.0,0.7938,0.9832,0.7251,1.6442,2,0.1501
16,2,1780.0,0.4696,1.0045,0.7283,1.1327,4,0.0583
16,3,2222.0,0.6878,0.8147,0.6165,1.3775,2,2.3376
16,4,1704.0,0.3013,0.9546,0.7245,1.0487,2,0.3589
16,6,2252.0,0.867,0.9106,0.5413,2.0064,4,0.4902
16,7,4046.0,0.8894,0.9556,0.5808,2.1876,2,0.2094
16,8,1661.0,0.8963,0.9139,0.5324,2.2554,2,0.3821
16,9,2891.0,0.8203,0.9692,0.6442,1.7485,3,0.1554
17,1,4326.0,0.8189,0.9642,0.6512,1.7421,3,0.2778
17,2,3220.0,0.9088,0.864,0.692,2.3973,3,0.7882
17,4,2121.0,0.563,0.8255,0.6235,1.21,1,2.122
17,5,1363.0,0.3636,0.8673,0.631,1.0735,2,1.7606
17,6,2401.0,0.3957,0.9727,0.741,1.0889,1,0.3685
17,7,1542.0,0.3586,0.9955,0.7301,1.0713,4,0.1731
17,8,1555.0,0.5367,1.0274,0.774,1.1851,0,0.0327
17,9,2452.0,0.5259,0.9907,0.7859,1.1757,4,0.2264
17,10,1357.0,0.6866,0.7562,0.4874,1.3755,4,1.9915
17,11,2897.0,0.4948,0.8202,0.5518,1.1507,5,1.9227
17,12,2468.0,0.6124,0.9187,0.7302,1.2649,3,0.7102
17,13,2988.0,0.5458,1.01,0.7709,1.1935,0,0.0361
17,14,1510.0,0.7122,1.0265,0.7848,1.4244,0,0.0378
17,15,1249.0,0.5785,0.7535,0.5793,1.226,3,2.0208
17,16,2405.0,0.7386,0.9442,0.6514,1.4833,4,0.2047
17,17,730.0,0.5895,1.0414,0.79,1.238,0,0.0477
17,18,1963.0,0.8173,0.9564,0.6491,1.7354,5,0.2927
17,19,2504.0,0.7225,0.9719,0.6957,1.4463,3,0.199
